,Nb,807.4,795.2,794.7,797.435,797.675,797.7,796.18,801.2
Nb,,-6.41,0.88,0.24,-0.95,2.23,2.23,-0.61,4.46
807.4,,,1.353,0.433,-2.237,0,0.595,0,0
795.2,,,,0,0.493,-0.403,-1.467,0,0
794.7,,,,,-0.15,0,-0.077,,
797.435,,,,,,,,,
797.675,,,,,,,,,
797.7,,,,,,,,,
796.18,,,,,,,,,
801.2,,,,,,,,,
